,gene,tau,max_group
238,Stag1,0.09362932,MOB Dopa-Gaba
239,Grm2,0.85848296,CBX Golgi Gly-Gaba
240,Cish,0.853192,CHOR NN
241,Plxnb1,0.85748976,Bergmann NN
242,Fbxw15,0.99534863,NP PPP Glut
243,Prss50,0.8531561,Astro-CB NN
244,Trank1,0.24059027,PVa-ARH Six3 Dopa-Gaba
245,Susd5,0.9801272,OPC NN
246,Glb1,0.55174744,MY Calcb Chol
247,Eomes,0.9903182,MOB Eomes Ms4a15 Glut
248,Itga9,0.9226354,OPC NN
249,Cx3cr1,0.93202025,Microglia NN
250,Mobp,0.9048931,Oligo NN
251,Syne1,0.27724054,Ependymal NN
252,Vip,0.97973174,MOB-mi Frmd7 Gaba
253,Nhsl1,0.8860943,Bergmann NN
254,Map3k5,0.5581922,Pineal Crx Glut
255,Arg1,0.9794456,HY Gnrh1 Glut
256,Samd3,0.97370774,TRS Sln Glut
257,Ptprk,0.6204154,Peri NN
258,Grik2,0.25373167,PDTg Otp Shroom3 Gaba
259,Lilr4b,0.995293,Monocytes NN
260,Lilrb4a,0.9941213,Monocytes NN
261,P4ha1,0.4541996,L5 NP CTX Glut
262,Egr2,0.9612321,DC NN
263,Tmem26,0.8938881,DMX Tbx20 Chol
264,Cisd1,0.17869869,PG-TRN-LRN Fat2 Glut
265,Itgb2,0.9896989,Monocytes NN
266,Cstb,0.59243023,CHOR NN
267,Abca7,0.76693165,PB-CUN Ppp1r1c Glut
268,Cirbp,0.37102672,Pineal Crx Glut
269,Ckap4,0.53069466,CBX Purkinje Gaba
270,Timp3,0.8015134,VLMC NN
271,Ascl1,0.8881163,NP SUB Glut
272,Igf1,0.86074364,Vip Gaba
273,Gas2l3,0.89878494,POR Spp1 Gly-Gaba
274,Anks1b,0.26460797,CBX Purkinje Gaba
275,Tmcc3,0.56979686,Microglia NN
276,Socs2,0.70524704,CBX MLI Megf11 Gaba
277,Dcn,0.98220724,VLMC NN
278,Ppfia2,0.25675002,DG Glut
279,Nav3,0.25347558,SPVC Ccdc172 Glut
280,Osbpl8,0.40344983,OT D3 Folh1 Gaba
281,Trhde,0.670955,LSX Sall3 Pax6 Gaba
282,Lyz2,0.9923541,BAM NN
283,Grip1,0.37257093,Sncg Gaba
284,Rassf3,0.86651343,Hypendymal NN
285,Cdk4,0.57073486,MOB-STR-CTX Inh IMN
286,Lrp1,0.36568007,VLMC NN
287,Tac2,0.96400505,MH Tac2 Glut
288,Cdk2,0.9693209,Hypendymal NN
289,Cd63,0.7773741,CHOR NN
290,Osbp2,0.48574927,DG Glut
291,Kremen1,0.87796974,NP SUB Glut
292,Adcy1,0.5771617,CA2-FC-IG Glut
293,Plek,0.8371168,Microglia NN
294,Slit3,0.67346895,DG Glut
295,Tenm2,0.29233924,PDTg Otp Olig3 Gaba
296,Gabra6,0.9967967,CB Granule Glut
297,Vdac1,0.21962966,POR Spp1 Gly-Gaba
298,Fstl4,0.59770286,NLOT Rho Glut
299,Fat2,0.9896379,CB Granule Glut
300,Gria1,0.37102407,Bergmann NN
301,Hist3h2a,0.43317565,CA3 Glut
302,Glp2r,0.8037039,L2 IT PPP-APr Glut
303,Ntn1,0.91694826,CBX MLI Cdh22 Gaba
304,Cd68,0.97133565,BAM NN
305,Mgl2,0.99397075,DC NN
306,Clec10a,0.9917205,BAM NN
307,Cxcl16,0.97766095,DC NN
308,Atp2a3,0.9860855,CBX Purkinje Gaba
309,Rph3al,0.8315285,Hypendymal NN
310,Ssh2,0.29225695,Microglia NN
311,Aldoc,0.6688442,Bergmann NN
312,Nos2,0.9896812,AD Serpinb7 Glut
313,Ccl2,0.9942428,BAM NN
314,Ccl7,0.9986125,BAM NN
315,Ccl12,0.99702984,BAM NN
316,Ccl8,0.99951947,BAM NN
317,Ccl5,0.9977274,Lymphoid NN
318,Ccl6,0.99490446,Monocytes NN
319,Ccl3,0.98863304,TRS Sln Glut
320,Car4,0.9386775,L4 RSP-ACA Glut
321,Sept4,0.7780002,Bergmann NN
322,Col1a1,0.9931705,VLMC NN
323,Dlx4os,0.99738115,CBX Purkinje Gaba
324,Arl4d,0.893873,TRS Sln Glut
325,Grn,0.8281913,BAM NN
326,Gfap,0.9813362,Astroependymal NN
327,Itgb3,0.91882247,POR Spp1 Gly-Gaba
328,Prkca,0.43574613,MOB-in Frmd7 Gaba
329,Abca8a,0.970588,VLMC NN
330,Abca9,0.9721805,BAM NN
