,gene,tau,max_group
440,Pcdhb8,0.5089223,HY Gnrh1 Glut
441,Pcdhb9,0.50031507,TH Glut
442,Pcdhb14,0.41939107,MGE GABA
443,Kctd16,0.50488853,HY MM Glut
444,Stk32a,0.788155,CNU GABA
445,Sema6a,0.49443355,HY Gnrh1 Glut
446,Prdm6,0.98696744,HY Gnrh1 Glut
447,Lmnb1,0.52328944,Pineal Glut
448,Megf10,0.89453626,OEG
449,Csf1r,0.9905994,Immune
450,Grp,0.90177405,MB Dopa
451,Skor2,0.94676083,MY GABA
452,Dok6,0.3252524,MH-LH Glut
453,Unc93b1,0.98245835,Immune
454,Neat1,0.85243326,Oligo
455,Map4k2,0.3968889,HY MM Glut
456,Plcb3,0.8515131,HY Gnrh1 Glut
457,Dagla,0.5135937,TH Glut
458,Mpeg1,0.9980093,Immune
459,Rorb,0.7944241,Astro-Epen
460,Mamdc2,0.96849537,HY MM Glut
461,Vldlr,0.42402163,CB GABA
462,Cd274,0.927801,MOB-CR Glut
463,Pdcd1lg2,0.9445225,MOB-CR Glut
464,Gldc,0.90955526,CB GABA
465,Prkg1,0.3303847,MB Dopa
466,Pten,0.11301996,IT-ET Glut
467,Pax2,0.9637044,MY GABA
468,Lbx1,0.9649709,CB GABA
469,Adra2a,0.7207362,LSX GABA
470,Rbm3,0.3495721,TH Glut
471,Cybb,0.9674758,Immune
472,Gria3,0.47563186,CB GABA
473,Gpc4,0.8612093,OEG
474,Fgf13,0.4072221,TH Glut
475,Pnck,0.4373684,CNU-HYa GABA
476,Bcap31,0.32094494,MB-HB Sero
477,Il1rapl1,0.29057017,HY MM Glut
478,Itm2a,0.9172335,Vascular
479,Cldn2,0.97010607,MB Dopa
480,Frmpd3,0.5147189,CGE GABA
481,Dcx,0.4476942,MOB-DG-IMN
482,Ptchd1,0.5217479,MH-LH Glut
483,Tlr7,0.9986556,Immune
